Date,Open,High,Low,Close,Volume,Adj Close
2008-01-23,1725.46,1794.46,1693.06,1789.53,3650250000,1789.53
2008-01-22,1740.53,1820.51,1740.53,1795.61,3161430000,1795.61
2008-01-18,1862.22,1876.04,1829.62,1844.09,2991360000,1844.09
2008-01-17,1882.36,1894.19,1838.99,1842.10,2785930000,1842.10
2008-01-16,1876.45,1907.30,1848.58,1872.29,3397330000,1872.29
2008-01-15,1925.95,1931.71,1885.45,1894.09,2390120000,1894.09
2008-01-14,1940.33,1952.55,1924.86,1949.15,2134230000,1949.15
2008-01-11,1940.98,1941.53,1900.23,1912.81,2355490000,1912.81
2008-01-10,1930.91,1968.09,1924.39,1953.64,2640400000,1953.64
2008-01-09,1915.23,1949.20,1889.92,1949.20,2821160000,1949.20
2008-01-08,1965.42,1983.14,1910.33,1910.33,2566480000,1910.33
2008-01-07,1971.28,1975.87,1929.27,1957.44,2600100000,1957.44
2008-01-04,2025.36,2025.36,1963.02,1963.52,2516310000,1963.52
2008-01-03,2050.64,2064.73,2040.01,2051.76,1970200000,2051.76
2008-01-02,2085.53,2094.22,2040.43,2049.71,2076690000,2049.71
2007-12-31,2097.91,2102.39,2083.58,2084.93,1454550000,2084.93
2007-12-28,2118.63,2121.28,2092.03,2107.05,1338850000,2107.05
2007-12-27,2129.01,2135.55,2104.02,2106.09,2324820000,2106.09
2007-12-26,2121.41,2141.08,2116.21,2136.94,1241830000,2136.94
2007-12-24,2113.12,2131.73,2113.12,2128.62,778620000,2128.62
2007-12-21,2100.71,2111.77,2094.65,2111.77,2508800000,2111.77
2007-12-20,2056.12,2070.51,2040.38,2069.68,1960470000,2069.68
2007-12-19,2027.90,2038.99,2016.69,2031.00,1835920000,2031.00
2007-12-18,2041.66,2042.29,1999.59,2029.49,1982590000,2029.49
2007-12-17,2064.45,2068.92,2020.26,2020.80,1873110000,2020.80
2007-12-14,2078.40,2096.96,2069.94,2072.11,1902390000,2072.11
2007-12-13,2083.08,2097.95,2072.75,2094.68,2143760000,2094.68
2007-12-12,2125.14,2130.57,2070.52,2101.36,2311900000,2101.36
2007-12-11,2137.82,2147.68,2081.55,2083.72,2195200000,2083.72
2007-12-10,2131.67,2141.36,2126.97,2134.88,1776540000,2134.88
2007-12-07,2127.54,2135.24,2116.63,2130.00,1855070000,2130.00
2007-12-06,2099.70,2128.32,2098.30,2127.65,1970680000,2127.65
2007-12-05,2083.19,2103.83,2079.67,2099.31,2258840000,2099.31
2007-12-04,2053.17,2070.39,2048.65,2059.06,2044740000,2059.06
2007-12-03,2080.10,2094.36,2066.23,2067.45,1994710000,2067.45
2007-11-30,2122.64,2122.64,2071.78,2089.10,2571340000,2089.10
2007-11-29,2084.57,2108.25,2082.19,2102.42,2157170000,2102.42
2007-11-28,2055.77,2100.97,2055.77,2095.39,2518580000,2095.39
2007-11-27,2007.35,2034.65,1997.53,2033.76,2166930000,2033.76
2007-11-26,2033.24,2047.92,1988.30,1989.36,2019400000,1989.36
2007-11-23,2019.40,2031.87,2008.13,2028.90,804330000,2028.90
2007-11-21,2008.88,2039.39,1986.45,2006.38,2034730000,2006.38
2007-11-20,2030.94,2064.08,1990.12,2029.94,2607370000,2029.94
2007-11-19,2040.17,2050.03,2009.71,2021.14,2188010000,2021.14
2007-11-16,2038.27,2052.20,2006.85,2048.62,2515680000,2048.62
2007-11-15,2035.46,2054.06,2007.78,2024.03,2289480000,2024.03
2007-11-14,2090.67,2091.06,2030.62,2038.05,2420260000,2038.05
2007-11-13,2009.74,2066.08,2009.74,2066.08,2662780000,2066.08
2007-11-12,2028.91,2043.05,1980.18,1982.16,2820740000,1982.16
2007-11-09,2061.52,2078.06,2033.88,2034.30,2955790000,2034.30
2007-11-08,2165.57,2167.81,2066.55,2106.16,3461810000,2106.16
2007-11-07,2205.29,2219.82,2168.55,2169.43,2491180000,2169.43
2007-11-06,2212.20,2224.43,2188.10,2223.97,2482160000,2223.97
2007-11-05,2193.06,2212.06,2179.90,2200.48,2092590000,2200.48
2007-11-02,2211.39,2218.66,2181.50,2213.86,2426050000,2213.86
2007-11-01,2223.52,2226.88,2196.35,2197.07,2528410000,2197.07
2007-10-31,2214.14,2239.23,2199.02,2238.98,2534530000,2238.98
2007-10-30,2197.14,2218.88,2192.69,2207.61,2121930000,2207.61
2007-10-29,2202.96,2209.39,2191.21,2203.42,2014730000,2203.42
2007-10-26,2200.69,2203.88,2174.82,2194.59,2583680000,2194.59
2007-10-25,2190.51,2195.40,2146.23,2161.52,2753360000,2161.52
2007-10-24,2187.03,2194.35,2140.87,2188.59,2739680000,2188.59
2007-10-23,2181.79,2205.18,2170.47,2205.18,2335770000,2205.18
2007-10-22,2121.01,2160.02,2116.64,2157.45,1958710000,2157.45
2007-10-19,2188.75,2188.75,2131.08,2131.08,2371650000,2131.08
2007-10-18,2168.24,2191.66,2161.68,2187.52,1973010000,2187.52
2007-10-17,2182.70,2182.85,2143.54,2179.14,2400080000,2179.14
2007-10-16,2147.88,2166.65,2143.56,2151.14,2038520000,2151.14
